TIME_STAMP,Iperf Analysis Statistics DM Monitor Rx Throughput (Mbps)
2025-10-28 21:26:05.071621,48.600
2025-10-28 21:26:06.076667,150.000
2025-10-28 21:26:07.073732,78.600
2025-10-28 21:26:08.071149,58.000
2025-10-28 21:26:09.074027,45.900
2025-10-28 21:26:10.073312,49.900
2025-10-28 21:26:11.072864,51.900
2025-10-28 21:26:12.074139,46.400
2025-10-28 21:26:12.302261,46.400
2025-10-28 21:26:50.361310,82.800
2025-10-28 21:26:51.362769,75.400
2025-10-28 21:26:52.361730,86.300
2025-10-28 21:26:53.358532,69.300
2025-10-28 21:26:54.360258,99.400
2025-10-28 21:26:55.358327,89.400
2025-10-28 21:26:56.359204,99.000
2025-10-28 21:26:57.361285,75.500
2025-10-28 21:26:58.360218,87.600
2025-10-28 21:26:59.360970,103.000
2025-10-28 21:27:00.360061,77.500
2025-10-28 21:27:01.357145,86.400
2025-10-28 21:27:01.918663,86.400
2025-10-28 21:27:21.658649,78.400
2025-10-28 21:27:22.652979,21.500
2025-10-28 21:27:23.656144,115.000
2025-10-28 21:27:24.657398,92.600
2025-10-28 21:27:25.656207,103.000
2025-10-28 21:27:26.656698,73.300
2025-10-28 21:27:27.653121,79.900
2025-10-28 21:27:28.656231,74.800
2025-10-28 21:27:29.655495,27.100
2025-10-28 21:27:30.657446,26.700
2025-10-28 21:27:31.657115,40.600
2025-10-28 21:27:32.659576,46.900
2025-10-28 21:27:33.653309,51.100
2025-10-28 21:27:34.655588,44.200
2025-10-28 21:27:35.652569,63.500
2025-10-28 21:27:35.661990,63.500
